"palavras","sentimentos"
"ampla","positivo"
"amplamente","positivo"
"amplas","positivo"
"amplia","positivo"
"ampliacao","positivo"
"ampliacoes","positivo"
"ampliada","positivo"
"ampliadas","positivo"
"ampliado","positivo"
"ampliados","positivo"
"ampliam","positivo"
"ampliamos","positivo"
"ampliando","positivo"
"ampliar","positivo"
"ampliara","positivo"
"ampliaram","positivo"
"ampliarao","positivo"
"ampliarem","positivo"
"ampliaremos","positivo"
"ampliarmos","positivo"
"ampliasse","positivo"
"ampliassem","positivo"
"amplie","positivo"
"ampliem","positivo"
"amplifica","positivo"
"amplificada","positivo"
"amplificadas","positivo"
"amplificado","positivo"
"amplificar","positivo"
"amplificaram","positivo"
"ampliou","positivo"
"amplo","positivo"
"amplos","positivo"
"aperfeicoa","positivo"
"aperfeicoada","positivo"
"aperfeicoadas","positivo"
"aperfeicoado","positivo"
"aperfeicoados","positivo"
"aperfeicoam","positivo"
"aperfeicoamento","positivo"
"aperfeicoamentos","positivo"
"aperfeicoamos","positivo"
"aperfeicoando","positivo"
"aperfeicoar","positivo"
"aperfeicoara","positivo"
"aperfeicoaram","positivo"
"aperfeicoarem","positivo"
"aperfeicoe","positivo"
"aperfeicoou","positivo"
"aplicacao","positivo"
"aplicacoes","positivo"
"apoia","positivo"
"apoiada","positivo"
"apoiadas","positivo"
"apoiado","positivo"
"apoiador","positivo"
"apoiadora","positivo"
"apoiadoras","positivo"
"apoiadores","positivo"
"apoiados","positivo"
"apoiam","positivo"
"apoiando","positivo"
"apoiantes","positivo"
"apoiar","positivo"
"apoiara","positivo"
"apoiaram","positivo"
"apoiarao","positivo"
"apoiarem","positivo"
"apoio","positivo"
"aprendizado","positivo"
"aprimora","positivo"
"aprimorada","positivo"
"aprimoradas","positivo"
"aprimorado","positivo"
"aprimorados","positivo"
"aprimoram","positivo"
"aprimoramento","positivo"
"aprimoramentos","positivo"
"aprimoramos","positivo"
"aprimorando","positivo"
"aprimorar","positivo"
"aprimorara","positivo"
"aprimoraram","positivo"
"aprimorarem","positivo"
"aprimorarmos","positivo"
"aprimorou","positivo"
"aprovaram","positivo"
"aproveitamento","positivo"
"aproveitamentos","positivo"
"aquecem","positivo"
"aquecendo","positivo"
"aquecer","positivo"
"aqueceram","positivo"
"aquecerao","positivo"
"aquecerem","positivo"
"aqueceu","positivo"
"aquecida","positivo"
"aquecidas","positivo"
"aquecido","positivo"
"aquecidos","positivo"
"aquecimento","positivo"
"aquecimentos","positivo"
"arrecada","positivo"
"arrecadacao","positivo"
"arrecadacoes","positivo"
"arrecadado","positivo"
"arrecadam","positivo"
"arrecadar","positivo"
"arrecadara","positivo"
"arrecadaram","positivo"
"arrecadarao","positivo"
"arrecadarem","positivo"
"arrecadasse","positivo"
"arrecadassem","positivo"
"arrecadou","positivo"
"ascender","positivo"
"ascenderam","positivo"
"ascendeu","positivo"
"ascensao","positivo"
"assegurado","positivo"
"asseguradora","positivo"
"assegurados","positivo"
"asseguram","positivo"
"assegurando","positivo"
"assegurar","positivo"
"asseguraram","positivo"
"assegurava","positivo"
"asseguravam","positivo"
"assegure","positivo"
"assegurem","positivo"
"assegurou","positivo"
"assumir","positivo"
"assumiu","positivo"
"atendida","positivo"
"atendidas","positivo"
"atendido","positivo"
"atendidos","positivo"
"atingindo","positivo"
"atraente","positivo"
"atratividade","positivo"
"aumentando","positivo"
"aumentaram","positivo"
"aumentariam","positivo"
"aumentassem","positivo"
"aumentavam","positivo"
"aumentem","positivo"
"aumento","positivo"
"aumentos","positivo"
"avanca","positivo"
"avancada","positivo"
"avancadas","positivo"
"avancado","positivo"
"avancados","positivo"
"avancam","positivo"
"avancamos","positivo"
"avancando","positivo"
"avancar","positivo"
"avancara","positivo"
"avancaram","positivo"
"avancarem","positivo"
"avancaremos","positivo"
"avancarmos","positivo"
"avancasse","positivo"
"avance","positivo"
"avanco","positivo"
"avancos","positivo"
"avancou","positivo"
"benefica","positivo"
"beneficas","positivo"
"beneficencia","positivo"
"beneficente","positivo"
"beneficentes","positivo"
"beneficia","positivo"
"beneficiada","positivo"
"beneficiadas","positivo"
"beneficiado","positivo"
"beneficiados","positivo"
"beneficiam","positivo"
"beneficiamos","positivo"
"beneficiando","positivo"
"beneficiar","positivo"
"beneficiara","positivo"
"beneficiaram","positivo"
"beneficiarao","positivo"
"beneficiarem","positivo"
"beneficiaria","positivo"
"beneficiarias","positivo"
"beneficiario","positivo"
"beneficiava","positivo"
"beneficiem","positivo"
"beneficio","positivo"
"beneficios","positivo"
"beneficiou","positivo"
"benefico","positivo"
"beneficos","positivo"
"bons","positivo"
"brilhante","positivo"
"capaz","positivo"
"cedeu","positivo"
"celebra","positivo"
"celebracao","positivo"
"celebracoes","positivo"
"celebrada","positivo"
"celebradas","positivo"
"celebrado","positivo"
"celebrados","positivo"
"celebram","positivo"
"celebramos","positivo"
"celebrando","positivo"
"celebrar","positivo"
"celebraram","positivo"
"celebrarao","positivo"
"celebraremos","positivo"
"celebrou","positivo"
"certeza","positivo"
"certezas","positivo"
"clareza","positivo"
"colabora","positivo"
"colaboracao","positivo"
"colaboracoes","positivo"
"colaborado","positivo"
"colaborador","positivo"
"colaboradora","positivo"
"colaboradoras","positivo"
"colaboradores","positivo"
"colaboram","positivo"
"colaborando","positivo"
"colaborar","positivo"
"colaboraram","positivo"
"colaborarem","positivo"
"colaborativa","positivo"
"colaborativas","positivo"
"colaborativo","positivo"
"colaborem","positivo"
"colaborou","positivo"
"combatendo","positivo"
"combater","positivo"
"combateram","positivo"
"combatida","positivo"
"combatido","positivo"
"comemoracao","positivo"
"comemorar","positivo"
"competente","positivo"
"competentes","positivo"
"competentissimos","positivo"
"comprometidos","positivo"
"comprometimento","positivo"
"compromissadas","positivo"
"compromisso","positivo"
"compromissos","positivo"
"conceder","positivo"
"concederam","positivo"
"concedeu","positivo"
"concedida","positivo"
"concedidas","positivo"
"concedido","positivo"
"concedidos","positivo"
"concessao","positivo"
"concessoes","positivo"
"concordancia","positivo"
"concretamente","positivo"
"concretas","positivo"
"concretizacao","positivo"
"concretizada","positivo"
"concretizadas","positivo"
"concretizado","positivo"
"concretizar","positivo"
"concretizaram","positivo"
"concretize","positivo"
"concretizem","positivo"
"concretizou","positivo"
"concreto","positivo"
"concretos","positivo"
"confia","positivo"
"confiabilidade","positivo"
"confiado","positivo"
"confiados","positivo"
"confiam","positivo"
"confianca","positivo"
"confiancas","positivo"
"confiando","positivo"
"confiante","positivo"
"confiantes","positivo"
"confiar","positivo"
"confiaveis","positivo"
"confiavel","positivo"
"confirmar","positivo"
"confirmaram","positivo"
"confirmarem","positivo"
"confirmou","positivo"
"confortavel","positivo"
"confortavelmente","positivo"
"conforto","positivo"
"confortos","positivo"
"conquista","positivo"
"conquistada","positivo"
"conquistadas","positivo"
"conquistado","positivo"
"conquistados","positivo"
"conquistam","positivo"
"conquistamos","positivo"
"conquistando","positivo"
"conquistar","positivo"
"conquistara","positivo"
"conquistaram","positivo"
"conquistarmos","positivo"
"conquistas","positivo"
"conquistassem","positivo"
"conquiste","positivo"
"conquistem","positivo"
"conquistou","positivo"
"consegue","positivo"
"conseguido","positivo"
"conseguindo","positivo"
"conseguir","positivo"
"conseguiram","positivo"
"conseguirao","positivo"
"conseguirem","positivo"
"conseguiria","positivo"
"conseguiriam","positivo"
"conseguirmos","positivo"
"conseguisse","positivo"
"conseguiu","positivo"
"consistencia","positivo"
"consistente","positivo"
"consistentes","positivo"
"consolida","positivo"
"consolidacao","positivo"
"consolidacoes","positivo"
"consolidada","positivo"
"consolidadas","positivo"
"consolidado","positivo"
"consolidador","positivo"
"consolidadora","positivo"
"consolidadoras","positivo"
"consolidadores","positivo"
"consolidados","positivo"
"consolidam","positivo"
"consolidamos","positivo"
"consolidando","positivo"
"consolidar","positivo"
"consolidara","positivo"
"consolidaram","positivo"
"consolidaremos","positivo"
"consolidarmos","positivo"
"consolidasse","positivo"
"consolidava","positivo"
"consolidem","positivo"
"consolidou","positivo"
"construimos","positivo"
"construindo","positivo"
"construir","positivo"
"construiram","positivo"
"construiu","positivo"
"construtiva","positivo"
"construtivo","positivo"
"contente","positivo"
"contentes","positivo"
"contingenciamento","positivo"
"contingenciamentos","positivo"
"contratacao","positivo"
"contratacoes","positivo"
"contratar","positivo"
"contribua","positivo"
"contribuam","positivo"
"contribuem","positivo"
"contribui","positivo"
"contribuia","positivo"
"contribuiam","positivo"
"contribuicao","positivo"
"contribuicoes","positivo"
"contribuido","positivo"
"contribuimos","positivo"
"contribuindo","positivo"
"contribuir","positivo"
"contribuira","positivo"
"contribuiram","positivo"
"contribuirao","positivo"
"contribuirem","positivo"
"contribuiria","positivo"
"contribuiriam","positivo"
"contribuirmos","positivo"
"contribuissem","positivo"
"contribuiu","positivo"
"cooperacao","positivo"
"correta","positivo"
"corretamente","positivo"
"corretas","positivo"
"correto","positivo"
"corrigida","positivo"
"corrigidas","positivo"
"corrigido","positivo"
"corrigidos","positivo"
"corrigir","positivo"
"corrigiram","positivo"
"credibilidade","positivo"
"cresca","positivo"
"crescam","positivo"
"cresce","positivo"
"crescem","positivo"
"crescemos","positivo"
"crescendo","positivo"
"crescente","positivo"
"crescentemente","positivo"
"crescentes","positivo"
"crescer","positivo"
"crescera","positivo"
"cresceram","positivo"
"crescerao","positivo"
"crescerem","positivo"
"cresceremos","positivo"
"cresceria","positivo"
"crescermos","positivo"
"crescesse","positivo"
"crescessem","positivo"
"cresceu","positivo"
"crescido","positivo"
"crescimento","positivo"
"crescimentos","positivo"
"cumprir","positivo"
"cumpriram","positivo"
"cumpriu","positivo"
"defende","positivo"
"defendem","positivo"
"defendemos","positivo"
"defendendo","positivo"
"defender","positivo"
"defenderam","positivo"
"defendeu","positivo"
"defendido","positivo"
"defendidos","positivo"
"defesa","positivo"
"defesas","positivo"
"deflacao","positivo"
"desejado","positivo"
"desejavel","positivo"
"desempenha","positivo"
"desempenhadas","positivo"
"desempenhado","positivo"
"desempenham","positivo"
"desempenhando","positivo"
"desempenhar","positivo"
"desempenharam","positivo"
"desempenho","positivo"
"desempenhos","positivo"
"desenvolva","positivo"
"desenvolvam","positivo"
"desenvolve","positivo"
"desenvolvedora","positivo"
"desenvolvedores","positivo"
"desenvolvem","positivo"
"desenvolvemos","positivo"
"desenvolvendo","positivo"
"desenvolver","positivo"
"desenvolvera","positivo"
"desenvolveram","positivo"
"desenvolverao","positivo"
"desenvolverem","positivo"
"desenvolveremos","positivo"
"desenvolvermos","positivo"
"desenvolvessem","positivo"
"desenvolveu","positivo"
"desenvolviam","positivo"
"desenvolvida","positivo"
"desenvolvidas","positivo"
"desenvolvido","positivo"
"desenvolvidos","positivo"
"desenvolvimentismo","positivo"
"desenvolvimento","positivo"
"desenvolvimentos","positivo"
"desonera","positivo"
"desoneracao","positivo"
"desoneracoes","positivo"
"desonerar","positivo"
"diferenciada","positivo"
"diferenciadas","positivo"
"diferenciado","positivo"
"diferenciados","positivo"
"diferenciais","positivo"
"diferencial","positivo"
"dispor","positivo"
"disposicao","positivo"
"dividendos","positivo"
"economiza","positivo"
"economizada","positivo"
"economizado","positivo"
"economizador","positivo"
"economizados","positivo"
"economizam","positivo"
"economizamos","positivo"
"economizando","positivo"
"economizar","positivo"
"economizara","positivo"
"economizou","positivo"
"educar","positivo"
"educativa","positivo"
"educativas","positivo"
"educativo","positivo"
"educativos","positivo"
"eficacia","positivo"
"eficaz","positivo"
"eficazes","positivo"
"eficazmente","positivo"
"eficiencia","positivo"
"eficiente","positivo"
"eficientemente","positivo"
"eficientes","positivo"
"elevacao","positivo"
"elevacoes","positivo"
"elevada","positivo"
"elevadas","positivo"
"elevadissima","positivo"
"elevadissimas","positivo"
"elevadissimo","positivo"
"elevadissimos","positivo"
"elevado","positivo"
"elevados","positivo"
"elevam","positivo"
"elevar","positivo"
"elevara","positivo"
"elevaram","positivo"
"elevarao","positivo"
"elevarem","positivo"
"elevaria","positivo"
"elevariam","positivo"
"elevasse","positivo"
"elevava","positivo"
"elevem","positivo"
"elogia","positivo"
"elogiada","positivo"
"elogiadas","positivo"
"elogiado","positivo"
"elogiados","positivo"
"elogiam","positivo"
"elogiando","positivo"
"elogiar","positivo"
"elogiaram","positivo"
"elogiava","positivo"
"elogio","positivo"
"elogios","positivo"
"elogiou","positivo"
"emerge","positivo"
"emergem","positivo"
"empenha","positivo"
"empenhada","positivo"
"empenhadas","positivo"
"empenhado","positivo"
"empenhados","positivo"
"empenham","positivo"
"empenhamento","positivo"
"empenhamos","positivo"
"empenhando","positivo"
"empenhar","positivo"
"empenharam","positivo"
"empenhasse","positivo"
"empenho","positivo"
"empenhos","positivo"
"empenhou","positivo"
"emprega","positivo"
"empregam","positivo"
"empregando","positivo"
"empregar","positivo"
"empregaram","positivo"
"empregarao","positivo"
"empregarem","positivo"
"empregavel","positivo"
"enorme","positivo"
"enormemente","positivo"
"enriquece","positivo"
"enriquecem","positivo"
"enriquecendo","positivo"
"enriquecer","positivo"
"enriqueceu","positivo"
"enriquecida","positivo"
"enriquecido","positivo"
"enriquecimento","positivo"
"entusiasmado","positivo"
"entusiasmo","positivo"
"entusiasta","positivo"
"equilibrio","positivo"
"erario","positivo"
"erradicacao","positivo"
"erradicar","positivo"
"esforca","positivo"
"esforcado","positivo"
"esforcam","positivo"
"esforcando","positivo"
"esforcar","positivo"
"esforcaram","positivo"
"esforcava","positivo"
"esforco","positivo"
"esforcos","positivo"
"esperanca","positivo"
"espetacular","positivo"
"espetaculares","positivo"
"espetacularmente","positivo"
"estabilidade","positivo"
"estabilidades","positivo"
"estabiliza","positivo"
"estabilizacao","positivo"
"estabilizada","positivo"
"estabilizadas","positivo"
"estabilizado","positivo"
"estabilizados","positivo"
"estabilizamos","positivo"
"estabilizando","positivo"
"estabilizar","positivo"
"estabilizaram","positivo"
"estabilize","positivo"
"estabilizem","positivo"
"estabilizou","positivo"
"estaveis","positivo"
"estavel","positivo"
"estimulada","positivo"
"estimuladas","positivo"
"estimulado","positivo"
"estimulados","positivo"
"estimulam","positivo"
"estimulamos","positivo"
"estimulando","positivo"
"estimulante","positivo"
"estimulantes","positivo"
"estimular","positivo"
"estimularam","positivo"
"estimulava","positivo"
"estimulou","positivo"
"evolua","positivo"
"evolucao","positivo"
"evolucoes","positivo"
"evolui","positivo"
"evoluido","positivo"
"evoluidos","positivo"
"evoluimos","positivo"
"evoluindo","positivo"
"evoluir","positivo"
"evoluiram","positivo"
"evoluirao","positivo"
"evoluirem","positivo"
"evoluiria","positivo"
"evoluirmos","positivo"
"evoluiu","positivo"
"evolutiva","positivo"
"evolutivo","positivo"
"evolutivos","positivo"
"excelencia","positivo"
"excelente","positivo"
"excelentes","positivo"
"excepcional","positivo"
"excepcionalmente","positivo"
"exito","positivo"
"exitos","positivo"
"expandida","positivo"
"expandidas","positivo"
"expandido","positivo"
"expandimos","positivo"
"expandindo","positivo"
"expandir","positivo"
"expandira","positivo"
"expandiram","positivo"
"expandirao","positivo"
"expandirem","positivo"
"expandirmos","positivo"
"expandisse","positivo"
"expandiu","positivo"
"expansao","positivo"
"expansionista","positivo"
"expansionistas","positivo"
"expectativa","positivo"
"expectativas","positivo"
"facil","positivo"
"facilmente","positivo"
"fantastico","positivo"
"favoraveis","positivo"
"favoravel","positivo"
"favoravelmente","positivo"
"felicidade","positivo"
"feliz","positivo"
"fidelidade","positivo"
"fideliza","positivo"
"fidelizacao","positivo"
"fidelizado","positivo"
"fidelizam","positivo"
"fidelizar","positivo"
"flexibilidade","positivo"
"flexibilizacao","positivo"
"flexibilizar","positivo"
"fortaleca","positivo"
"fortalecam","positivo"
"fortalece","positivo"
"fortalecem","positivo"
"fortalecemos","positivo"
"fortalecendo","positivo"
"fortalecer","positivo"
"fortalecera","positivo"
"fortaleceram","positivo"
"fortalecerao","positivo"
"fortalecerem","positivo"
"fortaleceremos","positivo"
"fortaleceu","positivo"
"fortalecida","positivo"
"fortalecidas","positivo"
"fortalecido","positivo"
"fortalecidos","positivo"
"fortalecimento","positivo"
"ganha","positivo"
"ganhado","positivo"
"ganhador","positivo"
"ganhadora","positivo"
"ganhadores","positivo"
"ganham","positivo"
"ganhamos","positivo"
"ganhando","positivo"
"ganhar","positivo"
"ganhara","positivo"
"ganharam","positivo"
"ganharao","positivo"
"ganharem","positivo"
"ganharemos","positivo"
"ganharia","positivo"
"ganhariam","positivo"
"ganharmos","positivo"
"ganhas","positivo"
"ganhasse","positivo"
"ganhassem","positivo"
"ganhava","positivo"
"ganhavam","positivo"
"ganhe","positivo"
"ganhem","positivo"
"ganho","positivo"
"ganhos","positivo"
"ganhou","positivo"
"garantia","positivo"
"garantias","positivo"
"garantido","positivo"
"garantidos","positivo"
"garantir","positivo"
"honestidade","positivo"
"honra","positivo"
"honrada","positivo"
"honrado","positivo"
"honrar","positivo"
"honraria","positivo"
"honrarias","positivo"
"honras","positivo"
"honrosa","positivo"
"honrosas","positivo"
"honroso","positivo"
"honrou","positivo"
"igualdade","positivo"
"impressionante","positivo"
"impulsiona","positivo"
"impulsionada","positivo"
"impulsionadas","positivo"
"impulsionado","positivo"
"impulsionados","positivo"
"impulsionam","positivo"
"impulsionando","positivo"
"impulsionar","positivo"
"impulsionaram","positivo"
"impulsionou","positivo"
"incentiva","positivo"
"incentivada","positivo"
"incentivadas","positivo"
"incentivado","positivo"
"incentivadores","positivo"
"incentivados","positivo"
"incentivam","positivo"
"incentivando","positivo"
"Incentivar","positivo"
"incentivar","positivo"
"incentivara","positivo"
"incentive","positivo"
"incentivem","positivo"
"incentivo","positivo"
"incentivos","positivo"
"incentivou","positivo"
"inovacao","positivo"
"inovacoes","positivo"
"inovador","positivo"
"inovadora","positivo"
"inovadoras","positivo"
"inovadores","positivo"
"inovam","positivo"
"inovar","positivo"
"Integracao","positivo"
"integrou","positivo"
"investe","positivo"
"investem","positivo"
"investiamos","positivo"
"investida","positivo"
"investidas","positivo"
"investido","positivo"
"investidos","positivo"
"Investimento","positivo"
"investimento","positivo"
"investimentos","positivo"
"Investimentos","positivo"
"investimos","positivo"
"investindo","positivo"
"investir","positivo"
"investira","positivo"
"investiram","positivo"
"investirao","positivo"
"investirem","positivo"
"investiremos","positivo"
"investiria","positivo"
"investirmos","positivo"
"investiu","positivo"
"lidera","positivo"
"liderada","positivo"
"lideradas","positivo"
"liderado","positivo"
"liderados","positivo"
"lideram","positivo"
"lideramos","positivo"
"liderando","positivo"
"liderar","positivo"
"louvavel","positivo"
"lucra","positivo"
"lucrado","positivo"
"lucram","positivo"
"lucrando","positivo"
"lucrar","positivo"
"lucraram","positivo"
"lucrativa","positivo"
"lucrativas","positivo"
"lucratividade","positivo"
"lucrativo","positivo"
"lucrativos","positivo"
"lucro","positivo"
"lucros","positivo"
"lucrou","positivo"
"maravilhas","positivo"
"maxima","positivo"
"maximizacao","positivo"
"maximizar","positivo"
"maximo","positivo"
"melhorado","positivo"
"melhorando","positivo"
"melhorar","positivo"
"melhoraram","positivo"
"melhorarem","positivo"
"melhoras","positivo"
"melhorassem","positivo"
"melhores","positivo"
"melhoria","positivo"
"melhorias","positivo"
"melhorou","positivo"
"moralidade","positivo"
"oportunidade","positivo"
"oportunidades","positivo"
"otima","positivo"
"otimas","positivo"
"otimismo","positivo"
"otimista","positivo"
"otimistas","positivo"
"otimiza","positivo"
"otimizacao","positivo"
"otimizacoes","positivo"
"otimizada","positivo"
"otimizado","positivo"
"otimizam","positivo"
"otimizando","positivo"
"otimizar","positivo"
"otimizou","positivo"
"otimo","positivo"
"otimos","positivo"
"perfeito","positivo"
"positiva","positivo"
"positivamente","positivo"
"positivas","positivo"
"positividade","positivo"
"positivismo","positivo"
"positivo","positivo"
"positivos","positivo"
"potencial","positivo"
"potencialidade","positivo"
"potencialidades","positivo"
"potencializa","positivo"
"potencializada","positivo"
"potencializado","positivo"
"potencializando","positivo"
"potencializar","positivo"
"potencializou","positivo"
"potencialmente","positivo"
"poupa","positivo"
"poupadores","positivo"
"poupando","positivo"
"poupar","positivo"
"premiacao","positivo"
"premiacoes","positivo"
"premiada","positivo"
"premiadas","positivo"
"premiado","positivo"
"premiados","positivo"
"premiando","positivo"
"premiar","positivo"
"premiara","positivo"
"premiaram","positivo"
"premio","positivo"
"premios","positivo"
"preservacao","positivo"
"preservado","positivo"
"preservados","positivo"
"preservando","positivo"
"preservar","positivo"
"preservaram","positivo"
"prestigia","positivo"
"prestigiada","positivo"
"prestigiadas","positivo"
"prestigiado","positivo"
"prestigiados","positivo"
"prestigiar","positivo"
"prestigio","positivo"
"prestigiou","positivo"
"prevencao","positivo"
"prevencoes","positivo"
"preventiva","positivo"
"preventivas","positivo"
"preventivo","positivo"
"preventivos","positivo"
"produtivas","positivo"
"produtivo","positivo"
"produtivos","positivo"
"progredido","positivo"
"progredimos","positivo"
"progredindo","positivo"
"progredir","positivo"
"progredirem","positivo"
"progrediu","positivo"
"progressao","positivo"
"progressivas","positivo"
"progressividade","positivo"
"progressivo","positivo"
"progressivos","positivo"
"progresso","positivo"
"progressos","positivo"
"progride","positivo"
"progridem","positivo"
"promover","positivo"
"promoveram","positivo"
"promoveu","positivo"
"promovida","positivo"
"promovidas","positivo"
"promovido","positivo"
"promovidos","positivo"
"prospera","positivo"
"prosperam","positivo"
"prosperando","positivo"
"prosperar","positivo"
"prosperaram","positivo"
"prosperas","positivo"
"prospere","positivo"
"prosperem","positivo"
"prosperidade","positivo"
"prospero","positivo"
"prosperos","positivo"
"prosperou","positivo"
"prudencia","positivo"
"prudenciais","positivo"
"prudencial","positivo"
"prudente","positivo"
"prudentes","positivo"
"reagia","positivo"
"reagiam","positivo"
"reagido","positivo"
"reagindo","positivo"
"reagir","positivo"
"reagiram","positivo"
"realizacao","positivo"
"realizacoes","positivo"
"realizado","positivo"
"realizando","positivo"
"realizar","positivo"
"reaquecendo","positivo"
"reaquecer","positivo"
"reaqueceu","positivo"
"reaquecimento","positivo"
"receita","positivo"
"receitas","positivo"
"recompensa","positivo"
"reconhecimento","positivo"
"recupera","positivo"
"recuperacao","positivo"
"recuperacoes","positivo"
"recuperada","positivo"
"recuperadas","positivo"
"recuperado","positivo"
"recuperados","positivo"
"recuperam","positivo"
"recuperamos","positivo"
"recuperando","positivo"
"recuperar","positivo"
"recuperara","positivo"
